Melodrama,Universal Music Group,2B87zXm9bOWvAJdkJBTpzF
The Double Rainbow Song,Jennie Buss,0rtC2IcufaT1wEXmKcJyK8
Me Against The World,Strategic Marketing,3OrucS4sHv6Bl9GS4rafEk
Red,"Big Machine Records, LLC",1EoDsNmgTLtmwe1BDAVxV5
Icky Thump,Third Man Records,77dc8fS3O8FaQjhbNASpgM
The Best of 2Pac - Pt. 1: Thug,Universal Strategic Marketing,4Y9ISbppFbwk0r1XCLUi0I
Visual Audio Sensory Theater,Elektra Records,30g2ANqeR3muuOeCmPf8uj
Back In Black,Epic/Legacy,6mUdeDZCsExyJLMdAfDuwh
King Of The Blues Guitar (US Release),Rhino Atlantic,4NNjaoSpZ1OFQljHZY9Lx7
Led Zeppelin,Rhino Atlantic,3ycjBixZf7S3WpC5WZhhUK
The Best Of (Hed) P.E.,Suburban Noize Records,7fDjWLApaKex95nZlUrdWr
Classical Hits - Beethoven's 9th Symphony,Telos,4tCIRuNncqJutcEY3HeJcn
Generator Man,"Shrapnel Records, Inc.",4Df2XwK1BeN91Byr1UnJpA
ROSENROT,Vertigo Berlin,3ujsh5jQMOFqIbP7sWruEt
The Tampa Acoustic Sessions EP,PONK Media,1FDtWMYoF33vr3YcuGN6SA
Die Weberischen,homebase-records,1dlXbfUaVupoAf43LxXG9s
They Were Wrong So We Drowned,Mute,6lDZfW6rm9w61pE7yXwtFC
The Campfire Headphase,Warp Records,0wBiN0fKhy0ywx732SpgUs
EV3,Atlantic Records,3mn8mLqRknZCD8o7Ruy4BN
Everywhere and His Nasty Parlour Tricks,Epic,4FGdH46dS0XB6wXiI8onbB
The Downward Spiral,Interscope,3i13RcPnJ0AkHEamweLGhq
When Disaster Strikes,Rhino/Elektra,6nPdlsKWGOFepgMMXTZReP
Cannibal,RCA Records Label,3GhnFolMJn8Ua8KieFZSBQ
Shock Value,Interscope,0V7TZQmJBgI81M9Z7GWxCI
Safari Disco Club,Cooperative Music,5i1czdY17oRUXvKRHyilUw
In Rainbows,XL Recordings,7eyQXxuf2nGj9d2367Gi5f
Post,143/Lava/Atlantic,2Ul7B1LEHxXzYubtkTMENs
Elephant,Third Man Records,48Atx1uS9J4KL5iQt3weoS
Significant Other,Universal Strategic Marketing,3HCCUaRSjHSFOe4fqE0BiP
They Can't All Be Zingers,Universal Strategic Marketing,3eI0FhygfWcdgI3GZdLXFT
Black Gives Way To Blue,Virgin Records,2vkLky2qG0rziUk0eOsIZ9
Blowback,Hollywood Records,76Zg0RE2Fin7AqBSTFFrDF
Murder the Mountains (Deluxe Version),Relapse Records,5RQlhjpn4qz3q2vRrAGYD9
Empires,Anachron Sounds,7fSSsXxAJI1v9ClpIXGAGY
Mezzanine,Circa,49MNmJhZQewjt06rpwp6QR
Lady Soul [w/bonus selections],Rhino Atlantic,7lEOKZaOpqP70UYqdLPejG
