"Demon Cleaner","3HCpwNmFp2rvjkdjTs4uxs","1npen0QK3TNxZd2hLNzzOj",1,52,"2cVphsi72OjF7s0rtt2z5e"
"This World","1hCkSJcXREhrodeIHQdav8","2poAUFGkHetMzM4xzLBVhY",1,52,"41otw6RUcMhVgO1LDOLmFX"
"Baby Please Don't Leave Me","2gCsNOpiBaMNh20jQ5prf0","7bkjnyiMG8mXzmEyfY49wD",1,45,"7JECM65zNFrYIHdvxj8NbO"
"Parenthesis","6hhA8TKRNryM8FNzqCqdDO","2SOYfn2Qcpt0zmKv8slc0S",1,2,"6EibJjsxKk3JwJgDMRJytj"
"Thunder Kiss '65","0CF71zaDOJWCynIkW9bSK8","6Cvv0qNSdZNf9o0j8EohoD",1,57,"4tvBoSWeIW0bjhKNre5mod"
"More Human Than Human","0CF71zaDOJWCynIkW9bSK8","3HugnfabsMODIbxzwxS5xC",1,56,"1NbJFhkVdD47YZ2IojKkJi"
"Five To One","22WZ7M8sxp5THdruNY3gXt","0qZTwrunzX3LG45PvRghmh",1,57,"5FlBGGwGuqYmqr0qeBWrxe"
"Township Rebellion - Remastered","2d0hyoQ5ynDBnkvAbJKORj","4Io5vWtmV1rFj4yirKb4y4",1,49,"4BOOsIe7Zx3SKJAEXgt1YH"
"Silvera","0GDGKpJFhVpcjIGF8N6Ewt","7D7V6M05UIOTjLdqbwRX0w",1,58,"5uunXHE4kIW6uS4HWAXaOQ"
"Sirens","5fuUeZd4SaxYUaK7qQFytt","3jV2udmUEv2g7eyZNHZnnJ",1,16,"17FNoCw22nfI2O4fNEV48w"
"The Regulator","161AC1AVRkIGIMxyj5djFQ","788NGcqAO0Fspr41K6tIQK",1,47,"41NaHuBpjQ0e1mXfJFDoev"
"The Party’s Over","1fSzW5cXBmquli5laFnoGY","3808Yq5c2HqOGKn7DPhX84",1,46,"4o42t3TaRGPdLvVpoKoj4x"
"You're the Top","72o2T9aqYR2PFNYpzYrMmw","6sBNBUjwHGLhHi8QPkungg",1,5,"3gi5gYjmI3ZMXvXQC0Clro"
"Bulletproof","3K2zB87GZv1krx031en5VA","3elHo10HDaxn13uuVhiTWH",1,61,"6lUY6MoqGgPnA27PHYxem5"
"Lonely Road Of Faith","7dOBabd5O4CvKrg4iriHTM","64du8CiAmKAzVswhA3RK4r",1,46,"3HkBKk880ppo4f2wYlRaie"
"Blue (Live)","4DFhHyjvGYa9wxdHUjtDkc","05ghFLMEOZqBJdS76hws7F",1,34,"584mMuJGMRLlTdhspJBMjT"
"Goin' Out West","7x83XhcMbOTl1UdYsPTuZM","5blxyZRgkA735vO40p56MA",1,41,"141XsxpUkbj7AkQKT8vySq"
"The Memory Remains","2ye2Wgw4gimLv2eAKyk1NB","7KDqRmr937ylvGilPGWxfD",1,54,"0vhOJ8a3M2LWnBNrDXJKDl"
"Cowboy - Explicit LP Version","7dOBabd5O4CvKrg4iriHTM","7nFlAxnXMrQRpM1R80pKQm",1,63,"19LT4ZUEeoUdimKE04WJJg"
"Lifter","6Ghvu1VvMGScGpOUJBAHNH","30YN03R4Bjl8Qwz8wPRoXG",1,41,"129Jx52FwTa2pilZohst80"
"One Weak","6Ghvu1VvMGScGpOUJBAHNH","30YN03R4Bjl8Qwz8wPRoXG",1,45,"4Bj9dhsxbIwrblcmBs9BpZ"
"Winds With Hands","0Gq06EJlfPumvCdMsnkJFp","3bpSo7GaNse2zGxaP3yOWh",1,19,"3defPJaBUgKxeXj9Ie2pTW"
"Lowside Of The Road","7x83XhcMbOTl1UdYsPTuZM","0tFQcJyS2Ui3vtiijAEdwS",1,33,"6wFG5cbobLqtH9ROMjJFHy"
"Roving Gangster (Rollin') - Explicit LP Version","7dOBabd5O4CvKrg4iriHTM","7nFlAxnXMrQRpM1R80pKQm",1,37,"1X7XrLsRtbjkwKCOqZwg5y"
"Dangerous Woman","66CXWjxzNUsdJxJ2JdwvnR","3OZgEywV4krCZ814pTJWr7",1,75,"7l94dyN2hX9c6wWcZQuOGJ"
"Sinatra","6Ghvu1VvMGScGpOUJBAHNH","0UArfu79AC2LrQ6lsvohp5",1,28,"4BCaL0JJaTWtgotNNYo1Q2"
"This Room","5Nx3gPpU2OFLI80rv7fDX5","07SpWDN3orMASxFtHXViYA",1,15,"77HoJFhbBuDxlF8uW20nXS"
"Dragula","3HVdAiMNjYrQIKlOGxoGh5","0wY51EfU28wZszAM6kR3Ia",1,63,"4JaJuGSfhcA7kavdgS3yn6"
"Binge And Purge","161AC1AVRkIGIMxyj5djFQ","6GqKUOkUtwaciglqdukJih",1,35,"2lBqQF5G7QCa9dB6oMPYuX"
"Bored","6Ghvu1VvMGScGpOUJBAHNH","30YN03R4Bjl8Qwz8wPRoXG",1,52,"0PicuPCfXDJyyRtOR1ukGW"
"Down Rodeo","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1,55,"40L8L7344pPMCjlZc19RQU"
"Change (In The House Of Flies) - Acoustic","6Ghvu1VvMGScGpOUJBAHNH","0UArfu79AC2LrQ6lsvohp5",1,35,"1B7QMxhxKSHbYBXoSXJzGk"
"Prayer To God","6I8R5MFTlez7rHCsH4cx0u","0UHOnddWyAQlP4s8Q1YeKR",1,41,"3jAbhqTcpsUxlA4x1suTBz"
"Salt The Earth","7pwThElmrxl0pjTwXMojCx","3ZonNd7UfpV28GA1ZUys7o",1,33,"6oKX1TgLtindgaex4yQXlD"
"Night and Day","72o2T9aqYR2PFNYpzYrMmw","6sBNBUjwHGLhHi8QPkungg",1,5,"0K9C8L73jEyrIDyD6Y7k6f"
"Tennis Court","163tK9Wjr9P9DmM0AVK7lm","6rnzvZhe3PA57xKcKLRtJ6",1,56,"4ivBdCI1s9f6yDWFUvBtZo"
"Rock N Roll Outlaw","161AC1AVRkIGIMxyj5djFQ","5snxt6YTFHrBD8ACd0hPJA",1,35,"4t9K7T9zZd4GcKMv6H0TqL"
"Bombtrack - Remastered","2d0hyoQ5ynDBnkvAbJKORj","4Io5vWtmV1rFj4yirKb4y4",1,63,"2rBHnIxbhkMGLpqmsNX91M"
"Altar Of Sacrifice","1IQ2e1buppatiN1bxUVkrk","2DumvqHl78bNXuvU9kQfPN",1,41,"3ci1aGelb4y8BxI5abOwCH"
"Gold Lion","3TNt4aUIxgfy9aoaft5Jj2","4vILeh9sgKiDXnyL2pHCiz",1,53,"6ttg1sxtU12beFZkjoc6j5"
"Die Alone","6DX31A4wAIGzrnZXYYXUke","0oGSCK0cEKQJqf4qPriYud",1,27,"7IzhbKMejp06OaN8JeCIAo"
